Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"0,631946559392651","-0,327990037363724","-0,0457153417189122",0,0,0,"28,6218517789205","0,534566826228912","0,0010457967003689","0,00551123058138156","1,12473773098407","9,5351373509542E-06","1,47771618364946",0,0,0,0,0,0,package://Jaguar_30/meshes/base_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Jaguar_30/meshes/base_link.STL,,Base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,0
r1,0,"-4,22529744546762E-05","0,0425728570235023",0,0,0,"1,24851342685823","0,0045564354033512","-1,0842021724855E-19","4,28386913073862E-19","0,00455965626561237","-1,98209617856446E-06","0,00416874617871985",0,0,0,0,0,0,package://Jaguar_30/meshes/r1.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Jaguar_30/meshes/r1.STL,,Gia Horugas-1,Origin_r1,Axis_r1,r1,revolute,"0,869293936399061","-0,0666227783369659","-0,0439503643535075","-1,5707963267949","-0,314929109723463","3,14159265358979",base_link,0,0,1,0,0,0,0,,,,,,,,0
r2,"-2,27208082692054E-05","3,56241311734867E-05","-0,109195635360468",0,0,0,"1,24851342685822","0,00455736673665303","-1,46024469365094E-06","1,0658380344917E-06","0,00455872493231054","-1,67113570523354E-06","0,00416874617871984",0,0,0,0,0,0,package://Jaguar_30/meshes/r2.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Jaguar_30/meshes/r2.STL,,Gia Horugas-2,Origin_r2,Axis_r2,r2,revolute,"0,399293990420997",0,"-0,0437250188021958","-1,5707963267949","-0,0431581617886059",0,base_link,0,0,1,0,0,0,0,,,,,,,,0
r3,"1,11022302462516E-16","-4,2252974454704E-05","-0,157427142976498",0,0,0,"1,24851342685823","0,0045564354033512","-5,42101086242752E-19","9,35971406716002E-20","0,00455965626561237","-1,98209617856407E-06","0,00416874617871985",0,0,0,0,0,0,package://Jaguar_30/meshes/r3.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Jaguar_30/meshes/r3.STL,,Gia Horugas-4,Origin_r3,Axis_r3,r3,revolute,"0,86929393639906","-0,386622778336966","-0,0439503643535074","-1,5707963267949","1,2090121165327",0,base_link,0,0,1,0,0,0,0,,,,,,,,0
r4,0,"-4,22529744547595E-05","-0,157427142976498",0,0,0,"1,24851342685823","0,0045564354033512","-1,19262238973405E-18","-9,96640141563091E-19","0,00455965626561238","-1,98209617856405E-06","0,00416874617871985",0,0,0,0,0,0,package://Jaguar_30/meshes/r4.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Jaguar_30/meshes/r4.STL,,Gia Horugas-3,Origin_r4,Axis_r4,r4,revolute,"0,399293990420997","-0,386622778336966","-0,0437250188021958","-1,5707963267949","1,20901211653096",0,base_link,0,0,1,0,0,0,0,,,,,,,,0
f1,"-0,0788518164673575","0,0016669729568521","-0,0403640337365136",0,0,0,"1,44865809139601","0,00466422368196858","0,000465210106840853","0,00113574330795392","0,0193982793710202","-1,66189708261499E-05","0,0201483680817828",0,0,0,0,0,0,package://Jaguar_30/meshes/f1.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Jaguar_30/meshes/f1.STL,,Flipers-3,Origin_f1,Axis_f1,f1,revolute,"0,869293936399061",0,"-0,0439503643535074","1,5707963267949","-0,0342025106505539","3,14159265358979",base_link,0,0,1,0,0,0,0,,,,,,,,0
f2,"-0,0788636618850037","-0,000954250034909308","-0,0403640337365136",0,0,0,"1,44865809139601","0,0046495927583523","-2,5170145741147E-05","0,00113566830544715","0,0194129102946365","2,1131771251448E-05","0,0201483680817828",0,0,0,0,0,0,package://Jaguar_30/meshes/f2.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Jaguar_30/meshes/f2.STL,,Flipers-4,Origin_f2,Axis_f2,f2,revolute,"0,399293990420997",0,"-0,0437250188021958","-1,5707963267949","-0,0431581617886059",0,base_link,0,0,1,0,0,0,0,,,,,,,,0
f3,"-0,0787883956431739","-0,00357441897597157","0,191258744600452",0,0,0,"1,44865809139601","0,00466756752204849","-0,000515439218718668","0,00113433886016749","0,0193949355309403","5,88591714803683E-05","0,0201483680817828",0,0,0,0,0,0,package://Jaguar_30/meshes/f3.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Jaguar_30/meshes/f3.STL,,Flipers-2,Origin_f3,Axis_f3,f3,revolute,"0,869293936399061","-0,421622778336966","-0,0439503643535077","-1,5707963267949","-0,0342025106505539","3,14159265358979",base_link,0,0,1,0,0,0,0,,,,,,,,0
f4,"-0,0788636618850017","-0,000954250034921486","0,191258744600452",0,0,0,"1,44865809139601","0,0046495927583523","-2,51701457411091E-05","0,00113566830544715","0,0194129102946365","2,11317712514446E-05","0,0201483680817829",0,0,0,0,0,0,package://Jaguar_30/meshes/f4.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Jaguar_30/meshes/f4.STL,,Flipers-1,Origin_f4,Axis_f4,f4,revolute,"0,399293990420997","-0,421622778336966","-0,0437250188021958","1,5707963267949","-0,0431581617886337",0,base_link,0,0,1,0,0,0,0,,,,,,,,0
h1,"0,234467099687084","-0,00928550472554336","-3,19189119579733E-16",0,0,0,"1,16560785623554","0,00806806160974636","1,41251453667315E-05","1,58316423976283E-17","0,0525310925362345","-1,13842810123554E-17","0,0601138837353568",0,0,0,0,0,0,package://Jaguar_30/meshes/h1.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Jaguar_30/meshes/h1.STL,,Correa5-4^Jaguar_3-1,Origin_h1,Axis_r1,h1,fixed,"0,399293990420978","-0,091622778336966","-0,0495302687057647","1,5707963267949",0,0,base_link,0,0,0,,,,,,,,,,,,0
h2,"-0,235850235776262","-0,00799954407268776",0,0,0,0,"1,1813217497872","0,0082440146290639","5,48652628262903E-06","-8,901847148848E-18","0,0529634548749615","1,30290454172957E-18","0,0607132369030633",0,0,0,0,0,0,package://Jaguar_30/meshes/h2.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Jaguar_30/meshes/h2.STL,,Correa3-3^Jaguar_3-1,Origin_h2,Axis_r3,h2,fixed,"0,399293990420978","-0,561622778336966","-0,0495302687057647","1,5707963267949",0,"3,14159265358979",base_link,0,0,0,,,,,,,,,,,,0
bas1,"-0,187894104288664","-0,0341836239249735","0,0539336427700658",0,0,0,"0,438172562606386","0,000483648569127725","-0,00121788289597534","0,000446419356320919","0,00696266128767451","8,12770158057105E-05","0,00705996276429711",0,0,0,0,0,0,package://Jaguar_30/meshes/bas1.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Jaguar_30/meshes/bas1.STL,,base_actuDOR-2,Origin_bas1,Axis_bas1,bas1,fixed,"0,844257278462699","-0,331168353078346","0,0611237015201654","1,5707963267949","0,573577668505077",0,base_link,0,0,1,0,0,0,0,,,,,,,,0
p1,"-0,362845058028624","-0,0659942729812834","0,0622564282765993",0,0,0,"0,228887113791296","9,73141247477889E-05","-0,000402361328669883","-4,54744006430305E-11","0,00223636751105941","-1,6740231337749E-10","0,00230968952642795",0,0,0,0,0,0,package://Jaguar_30/meshes/p1.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Jaguar_30/meshes/p1.STL,,VASTAGO-2,Origin_bas1,Axis_p1,p1,prismatic,0,0,0,0,0,0,bas1,-1,0,0,0,0,0,0,,,,,,,,0
tap1,"0,118780209860298","0,0200517576635519","-0,077195824737856",0,0,0,"1,71755022410884","0,0498201649820762","-0,0382786712708755","8,57293452059561E-05","0,160446116014319","1,78500436700248E-05","0,134658601745901",0,0,0,0,0,0,package://Jaguar_30/meshes/tap1.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Jaguar_30/meshes/tap1.STL,,rampa-1,Origin_tap1,Axis_tap1,tap1,fixed,"-0,515815194224712",0,"0,0622564308380305",0,0,"0,702938544695449",p1,0,0,1,0,0,0,0,,,,,,,,0
rampa_des,"-0,785282450667336","0,0104305000111618","-0,265000000000001",0,0,0,"1,40524777960769","0,0320948127575299","-0,00334456125849637","1,48431212063645E-16","0,123723394126944","-1,0916372686925E-17","0,0918745263867961",0,0,0,0,0,0,package://Jaguar_30/meshes/rampa_des.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Jaguar_30/meshes/rampa_des.STL,,rampa2-1,Origin_rampa_des,Axis_rampa_des,rampa_des,prismatic,"0,0977328615672696","-0,0226374759620587","0,188097294268708",0,0,"0,265986583822593",tap1,1,0,0,0,0,0,0,,,,,,,,0
bas2,"-0,187108340822752","0,0382515799093195","-0,0349914141893558",0,0,0,"0,438172562606385","0,000540402523384696","0,0013593113434545","0,000444574733650783","0,00690590733341756","-9,08267647535683E-05","0,00705996276429713",0,0,0,0,0,0,package://Jaguar_30/meshes/bas2.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Jaguar_30/meshes/bas2.STL,,base_actuDOR-3,Origin_bas2,Axis_bas2,bas2,fixed,"0,436340363562162","-0,212985909567805","0,0611237015201654","1,5707963267949","0,72467017951688","-3,14159265358979",base_link,0,0,0,0,0,0,0,,,,,,,,0
p2,"-0,295976066442685","0,0605229948269987","-0,026668628682822",0,0,0,"0,228887113791296","0,000115860779297583","0,00044857880537704","-1,04547626226095E-10","0,00221782085650962","-1,38424166013918E-10","0,00230968952642795",0,0,0,0,0,0,package://Jaguar_30/meshes/p2.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Jaguar_30/meshes/p2.STL,,VASTAGO-3,Origin_bas2,Axis_p2,p2,prismatic,0,0,0,0,0,0,bas2,1,0,0,0,0,0,0,,,,,,,,0
